ID_Commune,Nom_Commune,ID_Prefecture
1,Cinkassé 1,1
2,Cinkassé 2,1
3,Tône 1,2
4,Tône 2,2
5,Tône 3,2
6,Tône 4,2
7,Kpendjal 1,3
8,Kpendjal 2,3
9,Kpendjal-Ouest 1,4
10,Kpendjal-Ouest 2,4
11,Oti 1,5
12,Oti 2,5
13,Oti-Sud 1,6
14,Oti-Sud 2,6
15,Tandjoaré 1,7
16,Tandjoaré 2,7
17,Kéran 1,8
18,Kéran 2,8
19,Kéran 3,8
20,Bassar 1,9
21,Bassar 2,9
22,Bassar 3,9
23,Bassar 4,9
24,Dankpen 1,10
25,Dankpen 2,10
26,Dankpen 3,10
27,Kozah 1,11
28,Kozah 2,11
29,Kozah 3,11
30,Kozah 4,11
31,Binah 1,12
32,Binah 2,12
33,Doufelgou 1,13
34,Doufelgou 2,13
35,Doufelgou 3,13
36,Assoli 1,14
37,Assoli 2,14
38,Assoli 3,14
39,Tchaoudjo 1,15
40,Tchaoudjo 2,15
41,Tchaoudjo 3,15
42,Tchaoudjo 4,15
43,Sotouboua 1,16
44,Sotouboua 2,16
45,Sotouboua 3,16
46,Mô 1,17
47,Mô 2,17
48,Tchamba 1,18
49,Blitta 1,19
50,Blitta 2,19
51,Blitta 3,19
52,Anié 1,20
53,Anié 2,20
54,Est-Mono 1,21
55,Est-Mono 2,21
56,Est-Mono 3,21
57,Moyen-Mono 1,22
58,Moyen-Mono 2,22
59,Agou 1,23
60,Agou 2,23
61,Danyi 1,24
62,Danyi 2,24
63,Akébou 1,25
64,Akébou 2,25
65,Kpélé 1,26
66,Kpélé 2,26
67,Kloto 1,27
68,Kloto 2,27
69,Kloto 3,27
70,Ogou 1,28
71,Ogou 2,28
72,Ogou 3,28
73,Ogou 4,28
74,Amou 1,29
75,Amou 2,29
76,Amou 3,29
77,Wawa 1,30
78,Wawa 2,30
79,Wawa 3,30
80,Haho 1,31
81,Haho 2,31
82,Haho 3,31
83,Haho 4,31
84,Avé 1,32
85,Avé 2,32
86,Bas-Mono 1,33
87,Bas-Mono 2,33
88,Yoto 1,34
89,Yoto 2,34
90,Yoto 3,34
91,Vo 1,35
92,Vo 2,35
93,Vo 3,35
94,Vo 4,35
95,Lacs 1,36
96,Lacs 2,36
97,Lacs 3,36
98,Lacs 4,36
99,Zio 1,37
100,Zio 2,37
101,Zio 3,37
102,Zio 4,37
103,Agoè-Nyivé 1,38
104,Agoè-Nyivé 2,38
105,Agoè-Nyivé 3,38
106,Agoè-Nyivé 4,38
107,Agoè-Nyivé 5,38
108,Agoè-Nyivé 6,38
109,Golfe 1,39
110,Golfe 2,39
111,Golfe 3,39
112,Golfe 4,39
113,Golfe 5,39
114,Golfe 6,39
115,Golfe 7,39
