ID_Commune,Annee,Mois,ID_Structure,Acces_Eau_Potable_Pct,Nb_Centres_Sante,Nb_Medecins,Nb_Infirmiers,Nb_Lits,Taux_Vaccination_Pct,Mortalite_Maternelle,Mortalite_Infantile,Cas_Palu,Cas_Cholera,Cas_Covid,Nb_Urgences,Satisfaction_Moyenne,Zone_Urgence
1,2020,1,1,56.52,1,19,60,14,87.88,2,0,330,8,46,13,3.44,1
1,2020,1,2,54.99,3,4,6,43,79.63,4,14,269,5,29,15,4.01,1
1,2020,2,1,47.03,1,6,49,13,91.12,3,10,768,1,43,8,4.5,1
1,2020,2,2,52.67,2,12,17,51,67.88,4,6,371,2,1,9,2.89,1
1,2020,3,1,93.55,2,8,24,28,52.7,4,12,325,9,11,7,2.91,1
1,2020,3,2,61.96,2,7,6,32,74.13,4,6,343,9,19,15,2.81,0
1,2020,4,1,66.48,1,10,28,73,88.59,1,8,283,8,33,7,4.04,0
1,2020,4,2,43.34,3,20,52,42,88.74,1,10,94,16,42,28,4.63,1
1,2020,5,1,46.85,3,10,59,34,51.06,2,5,443,5,22,27,2.5,1
1,2020,5,2,51.95,1,1,18,28,54.58,0,9,737,11,10,29,3.16,1
1,2020,6,1,49.97,2,3,10,64,76.25,0,7,207,10,7,10,3.65,1
1,2020,6,2,89.56,2,7,53,27,70.47,4,12,420,14,38,13,3.54,1
1,2020,7,1,56.15,2,14,28,6,63.33,2,9,280,2,35,6,3.03,1
1,2020,7,2,50.59,1,7,56,57,57.91,2,11,179,17,45,1,3.73,1
1,2020,8,1,63.43,1,12,17,63,90.84,1,9,294,10,3,3,3.08,0
1,2020,8,2,62.19,2,18,43,19,70.52,5,8,205,6,29,17,3.97,0
1,2020,9,1,42.9,2,9,9,27,61.85,2,2,380,3,34,6,3.38,1
1,2020,9,2,44.91,3,8,8,17,53.25,5,2,126,14,31,4,4.54,1
1,2020,10,1,56.73,3,5,46,41,79.76,0,6,580,14,44,25,4.61,1
1,2020,10,2,65.93,2,15,31,77,74.1,1,6,446,14,17,28,4.2,0
1,2020,11,1,46.1,2,4,14,47,84.44,1,9,371,3,20,30,2.54,1
1,2020,11,2,93.61,3,6,45,11,58.92,3,1,194,19,41,7,3.2,0
1,2020,12,1,79.87,3,3,15,66,83.9,0,9,334,13,25,1,4.06,0
1,2020,12,2,40.57,1,4,8,77,76.85,3,0,226,11,20,30,4.35,1
1,2021,1,1,82.6,2,2,36,46,81.77,0,14,305,6,6,1,2.53,1
1,2021,1,2,89.04,1,14,53,41,62.89,5,5,286,0,9,17,2.7,0
1,2021,2,1,65.87,2,18,60,46,84.79,2,15,656,13,37,7,4.68,1
1,2021,2,2,77.98,3,6,54,39,51.88,3,4,522,13,38,24,3.08,1
1,2021,3,1,62.34,1,15,42,37,67.02,5,12,562,6,24,3,2.58,1
1,2021,3,2,40.42,2,16,41,76,69.16,3,11,612,14,17,4,3.31,1
1,2021,4,1,77.5,1,4,15,48,90.7,4,0,129,8,20,5,3.06,0
1,2021,4,2,88.4,1,20,14,64,84.32,5,11,175,2,19,3,4.48,1
1,2021,5,1,74.51,3,12,58,77,80.21,0,13,670,16,25,2,3.07,1
1,2021,5,2,58.25,1,20,53,50,52.34,3,12,258,19,39,17,3.84,1
1,2021,6,1,66.42,3,15,37,14,96.98,4,10,634,8,5,2,3.23,1
1,2021,6,2,90.09,3,7,39,80,93.9,2,13,327,17,13,3,3.94,1
1,2021,7,1,54.52,1,9,13,77,85.29,2,8,214,12,20,29,3.44,1
1,2021,7,2,64.57,3,8,33,20,82.27,3,12,115,15,38,4,4.5,1
1,2021,8,1,83.57,3,17,6,22,51.77,0,12,579,20,6,5,3.71,1
1,2021,8,2,60.98,2,18,33,54,96.44,5,15,639,5,0,9,2.68,1
1,2021,9,1,79.15,1,19,37,71,55.48,4,9,589,0,29,12,4.49,1
1,2021,9,2,49.49,1,18,27,36,51.51,0,0,568,0,5,28,2.5,1
1,2021,10,1,42.82,2,13,42,22,88.36,4,2,736,13,43,12,2.97,1
1,2021,10,2,51.81,1,14,24,33,90.06,4,9,647,7,29,4,3.13,1
1,2021,11,1,92.71,3,3,41,35,87.78,4,9,59,14,2,15,2.65,0
1,2021,11,2,67.79,3,13,12,59,96.57,4,3,546,2,45,17,3.93,1
1,2021,12,1,93.66,1,16,17,46,58.65,4,10,632,6,5,13,2.94,1
1,2021,12,2,62.5,2,5,20,55,87.36,3,6,377,12,45,17,3.34,0
1,2022,1,1,40.63,3,15,26,37,84.42,4,9,222,14,16,19,2.8,1
1,2022,1,2,76.8,3,15,34,61,68.47,1,4,107,0,11,10,3.12,0
1,2022,2,1,73.91,3,8,42,61,62.97,0,4,156,9,19,10,4.76,0
